Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Sterbai Cory,Corydoras sterbai,,Cory,Easy,2.6 inches / 66 mm,2.6 inches / 66 mm,5 years,6.0 - 7.6,75 - 82 F / 24 - 28 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Stonelapping Minnow,Garra cambodgiensis,,Misc,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,5 years,6.0 - 7.5,68 - 81 F / 20 - 27 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Striped Goby Cichlid,Eretmodus cyanostictus,Tanganyikan Goby Cichlid,African cichlids,Moderate,3.0 inches / 76 mm,3.5 inches / 88 mm,5 years,8.0 - 9.0,75 - 82 F / 24 - 28 C,10 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Omnivore,Veggies,Sand,High,Moderate,Moderate,29 gallons / 109 liters
Striped Raphael Catish,Platydoras armatulus,,Misc catfish,Easy,6.0 inches / 152 mm,9.5 inches / 241 mm,10 years,6.0 - 7.5,75 - 86 F / 24 - 30 C,2 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Low,Moderate,29 gallons / 109 liters
Stripefin Eartheater,Gymnogeophagus rhabdotus,,American cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,10 years,5.0 - 8.5,68 - 77 F / 20 - 25 C,10 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Sturgeon Catfish,Platystomatichthys sturio,,Misc catfish,Difficult,14.0 inches / 355 mm,14.0 inches / 355 mm,12 - 14 years,5.5 - 7.5,72 - 86 F / 22 - 30 C,2 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
Sorong Rainbowfish,Melanotaenia fredericki,,Rainbowfish,Moderate,3.5 inches / 88 mm,3.5 inches / 88 mm,5 - 8 years,6.5 - 7.5,75 - 82 F / 24 - 28 C,6 - 8 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Spiny Eel,Macrognathus aculeatus,Lesser Spiny Eel,Eels,Moderate,14.0 inches / 355 mm,15.0 inches / 381 mm,8 - 12 years,6.5 - 7.5,73 - 82 F / 23 - 28 C,5 - 35 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Spotfin Goby Cichlid,Tanganicodus irsacae,,African cichlids,Moderate,2.8 inches / 71 mm,2.8 inches / 71 mm,3 - 5 years,8.0 - 9.0,75 - 82 F / 24 - 28 C,8 - 25 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Pellets, live",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Spotted Blue Eye,Pseudomugil gertrudae,,Rainbowfish,Easy,1.5 inches / 38 mm,1.5 inches / 38 mm,3 years,4.5 - 7.5,72 - 82 F / 22 - 28 C,5 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Spotted Gar,Lepisosteus oculatus,,Monster,Difficult,44.0 inches / 1117 mm,50.0 inches / 1270 mm,10 - 18 years,6.0 - 8.0,53 - 68 F / 12 - 20 C,5 - 20 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,350 gallons / 1324 liters
Spotted Headstander,Chilodus punctatus,,Misc,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,8 - 12 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen, veggies, algae",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Spotted Rainbowfish,Glossolepis maculosus,,Rainbowfish,Moderate,1.5 inches / 38 mm,1.5 inches / 38 mm,6 years,7.5 - 7.8,73 - 82 F / 23 - 28 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Spotted Raphael Catfish,Agamyxis pectinifrons,"Spotted Talking Catfish,  Spotted Raphael,  White Spotted Catfish,  White Barred Catfish,  Talking Catfish,  White Spotted Doradid",Misc catfish,Easy,5.5 inches / 139 mm,6.0 inches / 152 mm,15 - 20 years,5.5 - 7.5,71 - 79 F / 22 - 26 C,1 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,4+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Low,High,40 gallons / 151 liters
Silver Tiger Perch,Datnioides polota,,Datnoid,Moderate,11.0 inches / 279 mm,12.0 inches / 304 mm,8 - 12 years,7.5 - 9.0,68 - 82 F / 20 - 28 C,15 - 30 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Moderate,Any,75 gallons / 283 liters
Silvertip Tetra,Hasemania nana,,Tetras,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,6.0 - 8.0,74 - 82 F / 23 - 28 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Sixbar Distichodus,Distichodus sexfasciatus,,Misc,Moderate,16.0 inches / 406 mm,30.0 inches / 762 mm,10 years,6.0 - 7.5,72 - 79 F / 22 - 26 C,10 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,No,Omnivore,"Live, frozen, veggies",Any,Moderate,Moderate,Moderate,150 gallons / 567 liters
Skunk Cory,Corydoras arcuatus,,Cory,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,4 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,2 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Skunk Loach,Yasuhikotakia morleti,Skunk Botia,Loaches,Moderate,3.5 inches / 88 mm,4.0 inches / 101 mm,5 - 8 years,6.0 - 7.5,73 - 84 F / 23 - 29 C,2 - 12 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,5+,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Slender Rainbowfish,Melanotaenia gracilis,,Rainbowfish,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 8 years,6.5 - 8.0,72 - 82 F / 22 - 28 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Slender Tail Hap,Buccochromis lepturus,,African cichlids,Moderate,16.0 inches / 406 mm,16.0 inches / 406 mm,10 - 12 years,7.5 - 8.8,75 - 80 F / 24 - 27 C,10 - 25 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,100 gallons / 378 liters
Snakehead Fighter,Betta channoides,,Bettas,Difficult,1.5 inches / 38 mm,1.5 inches / 38 mm,3 - 5 years,4.0 - 6.5,73 - 86 F / 23 - 30 C,1 - 5 dGH,Mid,Peaceful,Peaceful,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Low,Moderate,5 gallons / 18 liters
Silver Flying Fox,Crossocheilus reticulatus,Reticulated Siamese Algae Eater,Misc,Easy,6.7 inches / 170 mm,6.7 inches / 170 mm,5 - 10 years,6.0 - 7.5,61 - 75 F / 16 - 24 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Algae, veggies",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Silver Hatchet,Gasteropelecus sternicla,Hatchet,Hatchets,Moderate,2.0 inches / 50 mm,2.5 inches / 63 mm,2 - 5 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,1 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Silver Prochilodus,Semaprochilodus taeniurus,Redfin Prochilodus,Misc,Moderate,12.0 inches / 304 mm,12.0 inches / 304 mm,5 - 8 years,5.5 - 7.5,73 - 84 F / 23 - 29 C,1 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Peaceful,6+,1:1,Yes,Herbivore,"Flakes, pellets, veggies, algae",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
Silver Rainbowfish,Chilatherina crassispinosa,,Rainbowfish,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,5 - 8 years,7.5 - 8.0,73 - 82 F / 23 - 28 C,5 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,High,40 gallons / 151 liters
Siamese Tiger Perch,Datnioides pulcher,"Widebar Datnoid,  Siamese Tiger Fish",Datnoid,Moderate,11.0 inches / 279 mm,12.0 inches / 304 mm,5 - 10 years,7.5 - 9.0,68 - 82 F / 20 - 28 C,15 - 30 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Any,75 gallons / 283 liters
Silver Arowana,Osteoglossum bicirrhosum,Arowana,Arowana,Difficult,36.0 inches / 914 mm,48.0 inches / 1219 mm,10 - 20 years,5.0 - 7.5,75 - 86 F / 24 - 30 C,1 - 12 dGH,Top,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,250 gallons / 946 liters
Silver Dollar,Metynnis argenteus,"Red Hook Silver Dollar,  Spotted Silver Dollar,  Tiger Silver Dollar",Misc,Moderate,6.0 inches / 152 mm,8.0 inches / 203 mm,10 years,5.0 - 7.5,75 - 82 F / 24 - 28 C,4 - 18 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, veggies, algae",Any,Low,Moderate,Moderate,55 gallons / 208 liters
Serpae Tetra,Hyphessobrycon eques,,Tetras,Moderate,1.6 inches / 40 mm,1.6 inches / 40 mm,3 - 5 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,1 - 15 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Severum,Heros efascticious,Banded Cichlid,American cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,10 years,5.5 - 7.0,72 - 84 F / 22 - 29 C,1 - 8 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Siamese Algae Eater,Crossocheilus siamensis,,Misc,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,5 - 10 years,6.0 - 7.5,72 - 79 F / 22 - 26 C,1 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Algae, veggies",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Senegal Bichir,Polypterus senegalus senegalus,"Dinosaur Bichir,  Albino Bichir",Bichir,Moderate,20.0 inches / 508 mm,20.0 inches / 508 mm,10 - 15 years,6.5 - 7.5,77 - 80 F / 25 - 27 C,8 - 12 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,150 gallons / 567 liters
Sepik Rainbowfish,Glossolepis kabia,,Rainbowfish,Easy,5.5 inches / 139 mm,5.5 inches / 139 mm,6 years,6.2 - 6.8,79 - 86 F / 26 - 30 C,10 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Sardine Cichlid,Cyprichromis leptosoma,,African cichlids,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,8 years,7.8 - 9.0,75 - 81 F / 24 - 27 C,10 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,8+,1:3,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Strong,Moderate,55 gallons / 208 liters
Scarlet Badis,Dario Dario,,Loaches,Moderate,0.8 inches / 20 mm,0.8 inches / 20 mm,4 - 6 years,6.5 - 8.5,64 - 77 F / 18 - 25 C,1 - 15 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Schwartz Cory,Corydoras schwartzi,,Cory,Easy,2.8 inches / 71 mm,2.8 inches / 71 mm,5 years,6.0 - 7.5,72 - 75 F / 22 - 24 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Scissortail Rasbora,Rasbora trilineata,Three Lined Rasbora,Rasboras,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,3 - 5 years,5.0 - 8.0,73 - 77 F / 23 - 25 C,2 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,55 gallons / 208 liters
Sajica Cichlid,Archocentrus sajica,T Bar Cichlid,American cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,2 - 5 years,7.0 - 7.5,72 - 78 F / 22 - 26 C,5 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Gravel,Moderate,Strong,Moderate,20 gallons / 75 liters
Salvini Cichlid,Cichlasoma Salvini,"Tricolor Cichlid,  Yellow Belly Cichlid",American cichlids,Moderate,6.0 inches / 152 mm,8.0 inches / 203 mm,13 years,6.5 - 8.0,72 - 79 F / 22 - 26 C,8 - 15 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
San Juan Cory,Corydoras bilineatus,,Cory,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,3 - 8 years,6.5 - 7.5,71 - 79 F / 22 - 26 C,4 - 18 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Rubbernose Pleco,Chaetostoma milesi,"Rubberlip Pleco,  Bulldog Pleco",Plecos,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,10 - 12 years,6.0 - 8.0,72 - 80 F / 22 - 27 C,5 - 19 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Algae, veggies",Sand,Moderate,Moderate,High,29 gallons / 109 liters
Ruby Barb,Puntius nigrofasciatus,Black Ruby Barb,Barbs,Easy,2.0 inches / 50 mm,2.5 inches / 63 mm,5 years,5.5 - 7.5,68 - 81 F / 20 - 27 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Rummy Nose Tetra,Hemigrammus bleheri,,Tetras,Moderate,1.5 inches / 38 mm,2.0 inches / 50 mm,5 - 6 years,5.5 - 7.0,72 - 79 F / 22 - 26 C,1 - 8 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Rummynose Rasbora,Sawbwa resplendens,Sawbwa Barb,Rasboras,Easy,1.0 inches / 25 mm,1.4 inches / 35 mm,3 - 5 years,6.0 - 8.0,64 - 72 F / 18 - 22 C,3 - 15 dGH,Mid,Peaceful,Semi aggressive,Peaceful,5+,1:4,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Rusty Cichlid,Iodotropheus Sprengerae,,African cichlids,Moderate,3.0 inches / 76 mm,4.0 inches / 101 mm,5 years,7.5 - 8.8,77 - 84 F / 25 - 29 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, live, frozen, veggies",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Ryukin Goldfish,Carassius auratus,,Goldfish,Easy,8.0 inches / 203 mm,8.0 inches / 203 mm,10 - 15 years,6.5 - 7.5,65 - 75 F / 18 - 24 C,4 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,29 gallons / 109 liters
Saddled Bichir,Polypterus endlicheri endlicheri,,Bichir,Moderate,25.0 inches / 635 mm,30.0 inches / 762 mm,10 - 15 years,6.0 - 8.0,72 - 82 F / 22 - 28 C,5 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,180 gallons / 681 liters
Sailfin Molly,Poecilia latipinna,,Livebearer,Easy,5.0 inches / 127 mm,6.0 inches / 152 mm,3 years,7.0 - 8.5,68 - 82 F / 20 - 28 C,15 - 30 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, algae, veggies, fry_food",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Rosy Finned Tetra,Hyphessobrycon rosaceus,Rosy Tetra,Tetras,Easy,1.6 inches / 40 mm,1.6 inches / 40 mm,3 - 5 years,5.5 - 7.5,75 - 82 F / 24 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Rosy Red Minnow,Pimephales promelas,,Misc,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,2 - 4 years,7.0 - 8.0,50 - 78 F / 10 - 26 C,5 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Royal Clown Loach,Leptobotia elongata,Imperial Flower Loach,Loaches,Moderate,20.0 inches / 508 mm,30.0 inches / 762 mm,20 years,6.5 - 7.5,60 - 82 F / 16 - 28 C,5 - 20 dGH,Bottom,Semi aggressive,Peaceful,Semi aggressive,3+,1:1,No,Omnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,150 gallons / 567 liters
Royal Farlowella Catfish,Sturisoma panamense,,Misc catfish,Easy,8.0 inches / 203 mm,8.0 inches / 203 mm,8 - 12 years,6.5 - 7.5,72 - 86 F / 22 - 30 C,6 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, algae, veggies",Any,Low,Moderate,Moderate,29 gallons / 109 liters
Royal Pleco,Panaque nigrolineatus,,Plecos,Easy,16.0 inches / 406 mm,16.0 inches / 406 mm,10 years,6.5 - 7.5,72 - 79 F / 22 - 26 C,5 - 10 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, algae, veggies, wood",Any,Low,Strong,Moderate,125 gallons / 473 liters
Red-Tailed Black Shark,Epalzeorhynchos bicolor,,Sharks,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,10 years,6.0 - 8.0,68 - 79 F / 20 - 26 C,2 - 15 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Regan’s Julie,Julidochromis regani,Convict Julie,African cichlids,Moderate,6.0 inches / 152 mm,12.0 inches / 304 mm,10 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Rhomb Barb,Puntius rhomboocellatus,Snakeskin Barb,Barbs,Easy,2.0 inches / 50 mm,3.5 inches / 88 mm,3 - 5 years,4.0 - 7.0,68 - 82 F / 20 - 28 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Rio Negro Dwarf Cichlid,Nannacara adoketa,,American cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,5 - 8 years,6.0 - 7.5,72 - 83 F / 22 - 28 C,4 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Ropefish,Erpetoichthys calabaricus,Reedfish,Misc,Easy,15.0 inches / 381 mm,36.0 inches / 914 mm,15 - 20 years,6.0 - 7.5,73 - 86 F / 23 - 30 C,5 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,High,125 gallons / 473 liters
Rose Danio,Danio roseus,,Danios,Easy,1.5 inches / 38 mm,1.5 inches / 38 mm,5 years,6.0 - 7.5,64 - 77 F / 18 - 25 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Low,Moderate,10 gallons / 37 liters
Rosy Barb,Puntius conchonius,,Barbs,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,5 years,6.0 - 7.0,64 - 79 F / 18 - 26 C,2 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Red Rainbowfish,Glossolepis incisus,Salmon-Red Rainbowfish,Rainbowfish,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,6 years,7.0 - 8.0,72 - 77 F / 22 - 25 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Red Striped Eartheater,Geophagus surinamensis,,American cichlids,Easy,12.0 inches / 304 mm,12.0 inches / 304 mm,10 years,6.0 - 8.0,72 - 81 F / 22 - 27 C,4 - 18 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,5+,1:3,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Red Tail Barracuda,Acestrorhynchus falcatus,"Spotted Cachorro,  Freshwater Barracuda,  Dog Characin",Misc,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,8 - 10 years,6.0 - 7.5,76 - 82 F / 24 - 28 C,8 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,4+,1:1,Yes,Carnivore,Live,Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Red Tailed Redeye Puffer,Carinotetraodon irrubesco,,Puffer,Moderate,1.8 inches / 45 mm,1.8 inches / 45 mm,5 years,6.0 - 7.5,68 - 82 F / 20 - 28 C,2 - 12 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Any,Moderate,Moderate,High,10 gallons / 37 liters
Red Terror,Cichlasoma festae,,American cichlids,Moderate,20.0 inches / 508 mm,20.0 inches / 508 mm,12 years,6.0 - 8.0,77 - 84 F / 25 - 29 C,4 - 18 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,150 gallons / 567 liters
Redhead Cichlid,Vieja synspila,,American cichlids,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,10 years,6.8 - 8.0,76 - 86 F / 24 - 30 C,10 - 15 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, algae, veggies",Sand,Moderate,Moderate,Low,75 gallons / 283 liters
Redtail Catfish,Phractocephalus hemioliopterus,,Monster,Difficult,48.0 inches / 1219 mm,53.0 inches / 1346 mm,15 - 20 years,6.0 - 7.5,68 - 79 F / 20 - 26 C,2 - 12 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Live, frozen",None,Low,Moderate,Low,1000 gallons / 3785 liters
Redtail Splitfin,Xenotoca eiseni,Redtail Goodeid,Livebearer,Moderate,2.5 inches / 63 mm,2.8 inches / 71 mm,3 - 5 years,6.0 - 8.0,59 - 86 F / 15 - 30 C,10 - 20 dGH,Mid,Aggressive,Peaceful,Aggressive,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,High,10 gallons / 37 liters
Red Dwarf Rasbora,Microrasbora rubescens,,Rasboras,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,3 - 5 years,6.0 - 8.0,68 - 75 F / 20 - 24 C,3 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Red Empress,Protomelas Taeniolatus,,African cichlids,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,7 - 10 years,7.7 - 8.6,73 - 82 F / 23 - 28 C,5 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:3,Yes,Omnivore,"Algae, veggies, flakes",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Red Eye Tetra,Moenkhausia sanctaefilomenae,,Tetras,Easy,2.8 inches / 71 mm,2.8 inches / 71 mm,3 - 5 years,6.0 - 8.0,72 - 79 F / 22 - 26 C,3 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen, veggies",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Red Fin,Copadichromis borleyi,,African cichlids,Moderate,8.0 inches / 203 mm,8.0 inches / 203 mm,12 years,7.5 - 8.5,77 - 84 F / 25 - 29 C,10 - 25 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,4+,1:3,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
